age,race,gender,label
60-69,White,Male,sad
40-49,White,Male,fear
20-29,White,Male,fear
50-59,White,Female,angry
20-29,White,Female,sad
50-59,White,Female,angry
40-49,White,Female,fear
30-39,White,Male,disgust
20-29,White,Male,fear
30-39,White,Female,surprise
30-39,White,Female,fear
20-29,White,Female,disgust
40-49,White,Male,sad
30-39,White,Male,fear
60-69,White,Male,surprise
20-29,White,Female,disgust
40-49,White,Male,sad
30-39,White,Female,fear
20-29,White,Female,happy
20-29,White,Female,angry
40-49,White,Male,angry
20-29,White,Male,angry
20-29,White,Male,angry
60-69,White,Male,surprise
30-39,White,Female,sad
40-49,White,Female,angry
20-29,White,Female,fear
20-29,White,Male,happy
40-49,White,Male,happy
20-29,White,Male,sad
40-49,White,Male,disgust
60-69,White,Male,sad
40-49,White,Female,happy
30-39,White,Male,happy
30-39,White,Male,happy
40-49,White,Female,surprise
40-49,White,Male,disgust
40-49,White,Male,disgust
20-29,White,Female,happy
30-39,White,Female,angry
20-29,White,Female,sad
40-49,White,Male,disgust
30-39,White,Male,happy
20-29,White,Female,sad
20-29,White,Female,disgust
40-49,White,Female,surprise
60-69,White,Male,angry
40-49,White,Female,angry
50-59,White,Female,fear
40-49,White,Female,angry
20-29,White,Male,sad
60-69,White,Male,happy
20-29,White,Male,surprise
20-29,White,Female,angry
50-59,White,Female,angry
30-39,White,Male,sad
40-49,White,Male,sad
50-59,White,Female,angry
40-49,White,Female,fear
20-29,White,Female,sad
20-29,White,Female,angry
30-39,White,Male,disgust
30-39,White,Female,sad
40-49,White,Female,angry
20-29,White,Male,sad
20-29,White,Female,fear
60-69,White,Male,angry
60-69,White,Male,happy
20-29,White,Male,angry
50-59,White,Female,disgust
50-59,White,Female,angry
20-29,White,Male,surprise
60-69,White,Male,surprise
30-39,White,Female,fear
20-29,White,Female,sad
20-29,White,Female,sad
40-49,White,Male,angry
60-69,White,Male,happy
40-49,White,Male,angry
40-49,White,Female,happy
20-29,White,Male,surprise
20-29,White,Male,happy
40-49,White,Female,happy
50-59,White,Female,sad
50-59,White,Female,disgust
40-49,White,Female,sad
20-29,White,Female,angry
30-39,White,Male,surprise
20-29,White,Male,fear
40-49,White,Male,disgust
60-69,White,Male,happy
30-39,White,Male,happy
30-39,White,Male,angry
30-39,White,Female,happy
20-29,White,Female,angry
30-39,White,Male,angry
60-69,White,Male,surprise
40-49,White,Female,happy
60-69,White,Male,happy
30-39,White,Female,fear
40-49,White,Male,angry
20-29,White,Male,happy
20-29,White,Male,happy
60-69,White,Male,happy
40-49,White,Male,fear
60-69,White,Male,sad
20-29,White,Male,angry
30-39,White,Female,angry
40-49,White,Male,disgust
30-39,White,Female,sad
30-39,White,Male,fear
40-49,White,Male,fear
30-39,White,Male,happy
60-69,White,Male,happy
20-29,White,Male,fear
20-29,White,Female,fear
30-39,White,Female,happy
30-39,White,Male,surprise
50-59,White,Female,angry
40-49,White,Male,sad
30-39,White,Female,happy
40-49,White,Male,angry
50-59,White,Female,disgust
40-49,White,Male,angry
20-29,White,Female,sad
20-29,White,Male,happy
40-49,White,Male,angry
30-39,White,Female,sad
40-49,White,Female,angry
30-39,White,Female,happy
20-29,White,Female,happy
40-49,White,Male,angry
40-49,White,Male,disgust
20-29,White,Female,happy
30-39,White,Male,disgust
20-29,White,Female,disgust
20-29,White,Female,angry
20-29,White,Male,surprise
30-39,White,Female,surprise
40-49,White,Female,fear
40-49,White,Male,angry
20-29,White,Female,happy
40-49,White,Male,sad
30-39,White,Female,fear
20-29,White,Female,sad
50-59,White,Female,fear
40-49,White,Male,disgust
20-29,White,Male,surprise
30-39,White,Male,angry
20-29,White,Female,angry
30-39,White,Female,angry
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,angry
60-69,White,Male,happy
20-29,White,Female,angry
30-39,White,Male,fear
20-29,White,Female,angry
40-49,White,Male,fear
20-29,White,Female,angry
30-39,White,Male,happy
40-49,White,Female,surprise
40-49,White,Male,disgust
20-29,White,Male,angry
40-49,White,Male,angry
20-29,White,Male,angry
20-29,White,Female,angry
50-59,White,Female,angry
20-29,White,Male,happy
30-39,White,Female,happy
40-49,White,Female,surprise
20-29,White,Male,fear
60-69,White,Male,happy
30-39,White,Male,angry
30-39,White,Male,happy
30-39,White,Male,sad
50-59,White,Female,happy
20-29,White,Female,fear
20-29,White,Female,happy
20-29,White,Male,fear
20-29,White,Female,disgust
40-49,White,Male,angry
60-69,White,Male,surprise
30-39,White,Male,fear
20-29,White,Female,disgust
30-39,White,Male,happy
20-29,White,Female,disgust
40-49,White,Male,angry
30-39,White,Male,happy
50-59,White,Female,fear
30-39,White,Female,surprise
30-39,White,Female,surprise
30-39,White,Female,fear
40-49,White,Male,disgust
40-49,White,Male,happy
20-29,White,Male,angry
20-29,White,Female,happy
50-59,White,Female,disgust
40-49,White,Female,happy
40-49,White,Male,angry
20-29,White,Female,happy
30-39,White,Male,sad
50-59,White,Female,angry
30-39,White,Female,angry
50-59,White,Female,happy
40-49,White,Female,fear
60-69,White,Male,happy
30-39,White,Male,happy
40-49,White,Male,angry
20-29,White,Male,surprise
60-69,White,Male,angry
20-29,White,Female,sad
60-69,White,Male,surprise
30-39,White,Female,fear
40-49,White,Male,disgust
20-29,White,Female,sad
40-49,White,Male,angry
40-49,White,Male,fear
50-59,White,Female,fear
20-29,White,Female,angry
40-49,White,Female,sad
60-69,White,Male,happy
40-49,White,Female,surprise
20-29,White,Male,surprise
60-69,White,Male,sad
20-29,White,Female,happy
40-49,White,Female,sad
20-29,White,Female,angry
50-59,White,Female,disgust
30-39,White,Female,surprise
40-49,White,Female,happy
30-39,White,Male,surprise
40-49,White,Male,fear
20-29,White,Male,surprise
30-39,White,Male,angry
30-39,White,Female,happy
40-49,White,Female,fear
40-49,White,Male,disgust
20-29,White,Female,sad
30-39,White,Male,happy
40-49,White,Female,happy
50-59,White,Female,angry
20-29,White,Male,fear
40-49,White,Female,angry
20-29,White,Female,happy
40-49,White,Male,sad
40-49,White,Male,disgust
30-39,White,Female,angry
20-29,White,Female,happy
30-39,White,Female,sad
20-29,White,Male,happy
30-39,White,Male,surprise
40-49,White,Male,angry
40-49,White,Female,fear
30-39,White,Male,disgust
20-29,White,Male,happy
20-29,White,Female,sad
20-29,White,Female,disgust
30-39,White,Male,happy
60-69,White,Male,happy
40-49,White,Male,happy
40-49,White,Male,disgust
30-39,White,Female,angry
30-39,White,Male,fear
60-69,White,Male,sad
40-49,White,Female,angry
30-39,White,Male,fear
30-39,White,Male,fear
40-49,White,Male,sad
30-39,White,Male,happy
20-29,White,Male,sad
30-39,White,Female,surprise
40-49,White,Female,happy
20-29,White,Male,surprise
30-39,White,Male,angry
40-49,White,Male,happy
20-29,White,Female,fear
20-29,White,Female,sad
20-29,White,Male,fear
40-49,White,Male,disgust
20-29,White,Male,fear
30-39,White,Male,sad
50-59,White,Female,angry
50-59,White,Female,fear
20-29,White,Female,angry
30-39,White,Female,fear
30-39,White,Female,surprise
20-29,White,Male,fear
40-49,White,Female,happy
50-59,White,Female,disgust
40-49,White,Male,angry
20-29,White,Female,angry
30-39,White,Male,sad
60-69,White,Male,sad
30-39,White,Female,surprise
20-29,White,Male,sad
20-29,White,Female,happy
40-49,White,Male,fear
60-69,White,Male,angry
40-49,White,Male,happy
60-69,White,Male,happy
20-29,White,Female,disgust
60-69,White,Male,fear
30-39,White,Male,sad
20-29,White,Female,sad
20-29,White,Female,angry
30-39,White,Male,happy
20-29,White,Male,happy
40-49,White,Female,happy
20-29,White,Female,happy
20-29,White,Female,angry
40-49,White,Male,fear
50-59,White,Female,angry
30-39,White,Male,fear
60-69,White,Male,happy
30-39,White,Male,angry
40-49,White,Female,sad
40-49,White,Male,disgust
60-69,White,Male,happy
20-29,White,Female,angry
40-49,White,Male,disgust
20-29,White,Female,sad
30-39,White,Female,happy
30-39,White,Male,happy
20-29,White,Female,angry
30-39,White,Male,sad
20-29,White,Female,happy
60-69,White,Male,surprise
20-29,White,Female,fear
40-49,White,Male,happy
40-49,White,Female,surprise
30-39,White,Female,happy
50-59,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,sad
30-39,White,Male,happy
20-29,White,Female,angry
60-69,White,Male,surprise
30-39,White,Male,happy
30-39,White,Male,happy
40-49,White,Male,sad
30-39,White,Male,angry
30-39,White,Male,angry
20-29,White,Female,fear
20-29,White,Female,sad
30-39,White,Female,angry
20-29,White,Female,angry
40-49,White,Female,angry
20-29,White,Male,surprise
20-29,White,Female,sad
30-39,White,Male,disgust
20-29,White,Female,sad
20-29,White,Male,happy
20-29,White,Female,angry
40-49,White,Male,disgust
30-39,White,Male,fear
50-59,White,Female,angry
20-29,White,Male,fear
20-29,White,Male,fear
30-39,White,Male,fear
30-39,White,Female,happy
30-39,White,Male,sad
30-39,White,Male,angry
60-69,White,Male,sad
20-29,White,Female,disgust
60-69,White,Male,angry
40-49,White,Female,surprise
50-59,White,Female,angry
40-49,White,Female,surprise
40-49,White,Female,sad
20-29,White,Female,sad
40-49,White,Female,surprise
30-39,White,Male,surprise
40-49,White,Female,fear
40-49,White,Female,angry
60-69,White,Male,fear
40-49,White,Male,sad
50-59,White,Female,happy
20-29,White,Male,happy
20-29,White,Male,angry
40-49,White,Male,sad
20-29,White,Male,surprise
40-49,White,Female,angry
40-49,White,Female,surprise
60-69,White,Male,surprise
20-29,White,Female,angry
40-49,White,Male,angry
60-69,White,Male,happy
60-69,White,Male,surprise
20-29,White,Male,sad
40-49,White,Female,surprise
60-69,White,Male,surprise
20-29,White,Female,angry
30-39,White,Male,happy
40-49,White,Male,disgust
20-29,White,Female,sad
20-29,White,Male,happy
40-49,White,Male,happy
60-69,White,Male,happy
20-29,White,Female,angry
60-69,White,Male,fear
30-39,White,Female,sad
20-29,White,Female,angry
30-39,White,Female,sad
30-39,White,Male,sad
20-29,White,Female,fear
50-59,White,Female,angry
60-69,White,Male,fear
30-39,White,Male,sad
30-39,White,Female,happy
60-69,White,Male,fear
50-59,White,Female,angry
30-39,White,Male,angry
50-59,White,Female,happy
50-59,White,Female,sad
60-69,White,Male,angry
40-49,White,Female,surprise
30-39,White,Male,fear
40-49,White,Female,surprise
20-29,White,Male,surprise
20-29,White,Female,angry
60-69,White,Male,sad
40-49,White,Female,angry
20-29,White,Male,fear
20-29,White,Female,sad
60-69,White,Male,fear
30-39,White,Male,happy
50-59,White,Female,disgust
20-29,White,Female,disgust
30-39,White,Male,fear
30-39,White,Male,surprise
60-69,White,Male,fear
20-29,White,Female,angry
50-59,White,Female,angry
30-39,White,Female,sad
20-29,White,Female,disgust
30-39,White,Male,angry
20-29,White,Female,angry
30-39,White,Female,surprise
50-59,White,Female,disgust
20-29,White,Male,surprise
50-59,White,Female,sad
40-49,White,Male,happy
60-69,White,Male,angry
20-29,White,Female,sad
40-49,White,Female,fear
40-49,White,Male,disgust
30-39,White,Female,fear
20-29,White,Female,happy
20-29,White,Male,sad
30-39,White,Male,happy
20-29,White,Female,disgust
50-59,White,Female,angry
60-69,White,Male,angry
30-39,White,Male,sad
20-29,White,Female,fear
40-49,White,Female,surprise
20-29,White,Male,happy
20-29,White,Male,fear
20-29,White,Male,angry
40-49,White,Female,angry
40-49,White,Male,angry
20-29,White,Female,angry
40-49,White,Female,sad
20-29,White,Female,angry
60-69,White,Male,happy
50-59,White,Female,angry
50-59,White,Female,fear
20-29,White,Male,fear
20-29,White,Female,sad
20-29,White,Female,angry
40-49,White,Female,surprise
20-29,White,Female,disgust
40-49,White,Male,fear
30-39,White,Male,happy
50-59,White,Female,angry
30-39,White,Male,surprise
20-29,White,Male,happy
60-69,White,Male,angry
50-59,White,Female,disgust
40-49,White,Male,sad
30-39,White,Male,sad
60-69,White,Male,fear
40-49,White,Male,angry
40-49,White,Female,angry
20-29,White,Female,sad
30-39,White,Male,happy
30-39,White,Female,sad
20-29,White,Female,angry
20-29,White,Female,happy
20-29,White,Male,sad
20-29,White,Female,sad
60-69,White,Male,happy
20-29,White,Female,disgust
40-49,White,Male,happy
20-29,White,Female,angry
60-69,White,Male,fear
60-69,White,Male,happy
20-29,White,Female,disgust
20-29,White,Male,angry
40-49,White,Male,disgust
30-39,White,Female,sad
40-49,White,Male,disgust
30-39,White,Female,sad
60-69,White,Male,happy
50-59,White,Female,disgust
20-29,White,Male,surprise
20-29,White,Female,angry
20-29,White,Female,sad
50-59,White,Female,angry
40-49,White,Female,happy
60-69,White,Male,sad
60-69,White,Male,fear
40-49,White,Female,surprise
30-39,White,Male,happy
20-29,White,Male,sad
20-29,White,Male,sad
20-29,White,Female,sad
30-39,White,Female,angry
40-49,White,Female,surprise
30-39,White,Female,sad
30-39,White,Male,fear
30-39,White,Male,surprise
30-39,White,Female,fear
20-29,White,Female,angry
30-39,White,Male,disgust
20-29,White,Female,sad
20-29,White,Female,happy
30-39,White,Female,sad
20-29,White,Female,angry
60-69,White,Male,surprise
40-49,White,Male,angry
60-69,White,Male,happy
40-49,White,Male,angry
40-49,White,Male,happy
60-69,White,Male,happy
30-39,White,Female,happy
50-59,White,Female,fear
40-49,White,Male,sad
40-49,White,Female,surprise
40-49,White,Male,sad
30-39,White,Male,fear
40-49,White,Female,angry
30-39,White,Female,surprise
50-59,White,Female,sad
30-39,White,Female,happy
50-59,White,Female,disgust
30-39,White,Male,sad
50-59,White,Female,angry
20-29,White,Female,sad
30-39,White,Male,sad
60-69,White,Male,fear
40-49,White,Female,surprise
50-59,White,Female,sad
40-49,White,Female,surprise
30-39,White,Male,sad
60-69,White,Male,sad
20-29,White,Female,disgust
60-69,White,Male,happy
20-29,White,Female,angry
20-29,White,Female,angry
40-49,White,Female,sad
30-39,White,Male,sad
60-69,White,Male,surprise
30-39,White,Male,sad
60-69,White,Male,angry
40-49,White,Female,happy
30-39,White,Female,happy
20-29,White,Male,happy
20-29,White,Female,sad
20-29,White,Female,fear
20-29,White,Female,disgust
40-49,White,Female,sad
20-29,White,Female,happy
40-49,White,Male,disgust
20-29,White,Male,happy
30-39,White,Male,disgust
60-69,White,Male,happy
20-29,White,Male,fear
50-59,White,Female,disgust
40-49,White,Female,happy
60-69,White,Male,happy
50-59,White,Female,angry
40-49,White,Male,fear
30-39,White,Female,happy
30-39,White,Male,surprise
40-49,White,Female,surprise
30-39,White,Female,sad
30-39,White,Male,happy
60-69,White,Male,fear
30-39,White,Female,surprise
60-69,White,Male,surprise
30-39,White,Male,disgust
20-29,White,Male,sad
50-59,White,Female,angry
40-49,White,Male,sad
20-29,White,Female,angry
40-49,White,Female,angry
40-49,White,Male,disgust
40-49,White,Female,fear
30-39,White,Male,surprise
20-29,White,Female,fear
30-39,White,Female,fear
20-29,White,Male,surprise
20-29,White,Male,surprise
50-59,White,Female,disgust
20-29,White,Female,disgust
60-69,White,Male,sad
40-49,White,Female,surprise
20-29,White,Female,sad
20-29,White,Female,fear
30-39,White,Male,surprise
50-59,White,Female,happy
30-39,White,Male,sad
60-69,White,Male,angry
40-49,White,Female,surprise
50-59,White,Female,disgust
20-29,White,Female,sad
20-29,White,Female,sad
40-49,White,Male,angry
60-69,White,Male,happy
30-39,White,Male,fear
20-29,White,Female,happy
60-69,White,Male,surprise
30-39,White,Female,angry
20-29,White,Male,happy
30-39,White,Male,happy
20-29,White,Female,sad
30-39,White,Female,angry
30-39,White,Female,surprise
60-69,White,Male,happy
30-39,White,Male,sad
40-49,White,Male,angry
20-29,White,Female,fear
20-29,White,Female,fear
40-49,White,Male,fear
30-39,White,Male,happy
40-49,White,Male,angry
40-49,White,Male,happy
60-69,White,Male,fear
40-49,White,Male,disgust
40-49,White,Male,sad
30-39,White,Female,happy
40-49,White,Female,surprise
60-69,White,Male,sad
60-69,White,Male,happy
30-39,White,Female,happy
40-49,White,Male,angry
20-29,White,Male,angry
20-29,White,Male,sad
20-29,White,Female,fear
60-69,White,Male,surprise
20-29,White,Male,fear
40-49,White,Female,happy
30-39,White,Male,disgust
40-49,White,Male,disgust
60-69,White,Male,angry
30-39,White,Female,surprise
40-49,White,Male,disgust
20-29,White,Female,fear
30-39,White,Female,surprise
50-59,White,Female,angry
20-29,White,Male,surprise
50-59,White,Female,disgust
30-39,White,Male,fear
40-49,White,Male,disgust
20-29,White,Female,sad
40-49,White,Female,surprise
20-29,White,Female,happy
60-69,White,Male,sad
30-39,White,Female,happy
40-49,White,Male,happy
40-49,White,Male,happy
60-69,White,Male,sad
20-29,White,Female,happy
20-29,White,Female,happy
40-49,White,Female,surprise
30-39,White,Female,happy
60-69,White,Male,happy
20-29,White,Male,happy
20-29,White,Female,happy
30-39,White,Male,happy
40-49,White,Male,disgust
20-29,White,Female,disgust
20-29,White,Female,sad
50-59,White,Female,fear
40-49,White,Male,angry
50-59,White,Female,sad
40-49,White,Female,happy
20-29,White,Male,fear
20-29,White,Female,angry
60-69,White,Male,surprise
60-69,White,Male,happy
30-39,White,Male,happy
60-69,White,Male,angry
40-49,White,Male,angry
20-29,White,Female,disgust
60-69,White,Male,angry
40-49,White,Female,happy
50-59,White,Female,happy
20-29,White,Male,fear
30-39,White,Female,surprise
40-49,White,Female,fear
60-69,White,Male,surprise
40-49,White,Female,surprise
30-39,White,Male,disgust
40-49,White,Male,fear
60-69,White,Male,fear
30-39,White,Female,sad
40-49,White,Male,angry
50-59,White,Female,angry
40-49,White,Female,sad
30-39,White,Male,disgust
20-29,White,Female,disgust
20-29,White,Male,sad
40-49,White,Female,fear
20-29,White,Female,sad
20-29,White,Male,happy
20-29,White,Male,happy
20-29,White,Female,angry
40-49,White,Male,angry
20-29,White,Female,fear
40-49,White,Male,sad
40-49,White,Female,surprise
30-39,White,Male,disgust
40-49,White,Female,surprise
40-49,White,Male,disgust
20-29,White,Female,sad
60-69,White,Male,happy
40-49,White,Female,happy
30-39,White,Male,sad
50-59,White,Female,happy
60-69,White,Male,fear
60-69,White,Male,happy
20-29,White,Female,sad
20-29,White,Female,sad
30-39,White,Male,happy
50-59,White,Female,sad
60-69,White,Male,surprise
20-29,White,Female,fear
50-59,White,Female,angry
30-39,White,Male,sad
50-59,White,Female,happy
50-59,White,Female,angry
60-69,White,Male,fear
40-49,White,Female,surprise
40-49,White,Male,happy
60-69,White,Male,angry
30-39,White,Male,angry
40-49,White,Female,surprise
40-49,White,Female,sad
30-39,White,Female,sad
60-69,White,Male,happy
20-29,White,Female,fear
20-29,White,Male,happy
30-39,White,Male,happy
60-69,White,Male,happy
20-29,White,Female,sad
40-49,White,Female,sad
50-59,White,Female,fear
60-69,White,Male,sad
60-69,White,Male,happy
50-59,White,Female,angry
60-69,White,Male,sad
60-69,White,Male,sad
30-39,White,Male,sad
50-59,White,Female,angry
20-29,White,Female,angry
50-59,White,Female,angry
20-29,White,Female,disgust
30-39,White,Male,angry
30-39,White,Female,fear
60-69,White,Male,happy
30-39,White,Female,happy
60-69,White,Male,sad
50-59,White,Female,sad
30-39,White,Male,fear
20-29,White,Male,sad
50-59,White,Female,sad
60-69,White,Male,fear
50-59,White,Female,happy
60-69,White,Male,angry
20-29,White,Male,angry
40-49,White,Male,angry
30-39,White,Male,happy
30-39,White,Female,angry
50-59,White,Female,fear
50-59,White,Female,sad
20-29,White,Female,angry
40-49,White,Female,angry
40-49,White,Male,angry
20-29,White,Female,disgust
20-29,White,Male,happy
60-69,White,Male,surprise
20-29,White,Female,sad
20-29,White,Female,angry
40-49,White,Male,disgust
20-29,White,Female,happy
40-49,White,Male,happy
60-69,White,Male,sad
50-59,White,Female,angry
60-69,White,Male,happy
40-49,White,Female,happy
50-59,White,Female,angry
20-29,White,Female,angry
40-49,White,Male,angry
60-69,White,Male,happy
40-49,White,Female,fear
30-39,White,Female,sad
40-49,White,Male,sad
40-49,White,Female,fear
20-29,White,Male,angry
30-39,White,Male,happy
50-59,White,Female,angry
50-59,White,Female,angry
30-39,White,Male,disgust
20-29,White,Female,sad
30-39,White,Female,sad
20-29,White,Male,angry
50-59,White,Female,angry
20-29,White,Female,sad
50-59,White,Female,sad
30-39,White,Female,happy
40-49,White,Female,sad
40-49,White,Male,disgust
20-29,White,Female,angry
20-29,White,Male,fear
30-39,White,Male,surprise
40-49,White,Female,sad
30-39,White,Male,fear
20-29,White,Female,angry
30-39,White,Male,sad
30-39,White,Male,angry
30-39,White,Female,surprise
20-29,White,Female,angry
20-29,White,Female,fear
40-49,White,Female,fear
30-39,White,Male,sad
40-49,White,Male,sad
50-59,White,Female,sad
30-39,White,Male,disgust
30-39,White,Male,sad
60-69,White,Male,fear
20-29,White,Male,sad
60-69,White,Male,happy
20-29,White,Male,angry
20-29,White,Female,angry
20-29,White,Male,fear
40-49,White,Male,happy
20-29,White,Female,sad
20-29,White,Male,angry
20-29,White,Female,happy
60-69,White,Male,sad
20-29,White,Female,sad
40-49,White,Female,happy
50-59,White,Female,disgust
20-29,White,Male,surprise
40-49,White,Male,disgust
30-39,White,Male,sad
20-29,White,Female,sad
40-49,White,Male,angry
40-49,White,Male,happy
40-49,White,Male,disgust
40-49,White,Female,surprise
20-29,White,Female,sad
20-29,White,Male,fear
20-29,White,Female,sad
20-29,White,Female,angry
30-39,White,Male,sad
30-39,White,Female,happy
30-39,White,Male,surprise
60-69,White,Male,happy
30-39,White,Male,surprise
20-29,White,Female,sad
60-69,White,Male,happy
40-49,White,Female,angry
40-49,White,Female,happy
60-69,White,Male,happy
40-49,White,Female,sad
20-29,White,Female,disgust
60-69,White,Male,surprise
20-29,White,Female,angry
20-29,White,Female,sad
20-29,White,Male,happy
40-49,White,Female,surprise
30-39,White,Female,fear
40-49,White,Female,angry
30-39,White,Male,happy
20-29,White,Female,disgust
30-39,White,Female,fear
30-39,White,Male,angry
50-59,White,Female,angry
40-49,White,Male,disgust
30-39,White,Male,happy
30-39,White,Male,sad
50-59,White,Female,angry
20-29,White,Female,angry
40-49,White,Male,fear
50-59,White,Female,fear
30-39,White,Male,sad
40-49,White,Female,happy
20-29,White,Female,sad
30-39,White,Male,fear
20-29,White,Female,fear
30-39,White,Female,angry
60-69,White,Male,sad
40-49,White,Female,surprise
60-69,White,Male,happy
30-39,White,Male,sad
40-49,White,Female,angry
50-59,White,Female,angry
60-69,White,Male,sad
40-49,White,Female,angry
20-29,White,Female,happy
60-69,White,Male,happy
40-49,White,Male,angry
40-49,White,Male,angry
20-29,White,Male,angry
50-59,White,Female,happy
40-49,White,Female,sad
40-49,White,Male,happy
20-29,White,Male,angry
60-69,White,Male,happy
40-49,White,Female,angry
60-69,White,Male,fear
30-39,White,Female,sad
40-49,White,Female,happy
30-39,White,Male,happy
30-39,White,Male,surprise
30-39,White,Male,sad
40-49,White,Male,angry
40-49,White,Male,disgust
20-29,White,Female,disgust
40-49,White,Female,angry
30-39,White,Male,angry
30-39,White,Male,angry
60-69,White,Male,happy
20-29,White,Female,fear
20-29,White,Female,disgust
30-39,White,Female,angry
40-49,White,Male,disgust
30-39,White,Female,angry
60-69,White,Male,sad
30-39,White,Female,sad
60-69,White,Male,happy
40-49,White,Male,happy
40-49,White,Female,angry
30-39,White,Male,angry
30-39,White,Male,angry
20-29,White,Female,fear
40-49,White,Male,disgust
30-39,White,Female,fear
30-39,White,Female,fear
30-39,White,Male,surprise
20-29,White,Female,disgust
30-39,White,Male,happy
20-29,White,Male,sad
20-29,White,Female,sad
40-49,White,Male,fear
40-49,White,Male,disgust
40-49,White,Female,surprise
50-59,White,Female,disgust
20-29,White,Male,angry
20-29,White,Male,sad
30-39,White,Male,sad
30-39,White,Female,sad
30-39,White,Male,sad
20-29,White,Male,surprise
40-49,White,Male,disgust
30-39,White,Female,surprise
20-29,White,Female,happy
50-59,White,Female,fear
20-29,White,Female,disgust
20-29,White,Male,happy
50-59,White,Female,disgust
40-49,White,Male,disgust
30-39,White,Female,fear
20-29,White,Female,sad
30-39,White,Female,sad
30-39,White,Male,fear
30-39,White,Female,angry
40-49,White,Female,sad
40-49,White,Female,happy
20-29,White,Female,fear
20-29,White,Male,fear
20-29,White,Female,angry
30-39,White,Female,sad
40-49,White,Female,fear
20-29,White,Female,disgust
60-69,White,Male,fear
50-59,White,Female,angry
60-69,White,Male,surprise
30-39,White,Female,surprise
30-39,White,Female,happy
30-39,White,Female,happy
30-39,White,Male,sad
20-29,White,Female,sad
30-39,White,Male,sad
20-29,White,Female,happy
60-69,White,Male,fear
40-49,White,Female,fear
60-69,White,Male,sad
40-49,White,Female,fear
20-29,White,Male,surprise
20-29,White,Female,sad
20-29,White,Male,sad
40-49,White,Male,fear
20-29,White,Female,disgust
40-49,White,Female,surprise
40-49,White,Female,surprise
40-49,White,Female,happy
30-39,White,Male,angry
30-39,White,Male,happy
60-69,White,Male,happy
50-59,White,Female,angry
20-29,White,Male,happy
30-39,White,Female,surprise
30-39,White,Female,angry
30-39,White,Male,angry
20-29,White,Male,sad
20-29,White,Female,fear
50-59,White,Female,fear
20-29,White,Male,happy
20-29,White,Female,happy
40-49,White,Female,fear
40-49,White,Male,angry
30-39,White,Male,fear
30-39,White,Female,fear
20-29,White,Male,fear
20-29,White,Female,fear
40-49,White,Female,fear
20-29,White,Female,happy
50-59,White,Female,disgust
60-69,White,Male,surprise
30-39,White,Male,surprise
20-29,White,Male,happy
40-49,White,Male,fear
30-39,White,Male,sad
30-39,White,Female,angry
30-39,White,Male,fear
40-49,White,Male,disgust
60-69,White,Male,happy
20-29,White,Female,disgust
30-39,White,Female,surprise
40-49,White,Male,angry
40-49,White,Female,angry
20-29,White,Female,disgust
30-39,White,Female,surprise
